epoch	hours	top1Accuracy	top5Accuracy
0	0.01241	4.248	12.422
1	0.02056	13.744	31.890
2	0.02872	17.476	37.000
3	0.03675	22.806	45.220
4	0.04485	23.948	46.612
5	0.05292	27.468	52.032
6	0.06062	36.966	62.856
7	0.06630	32.990	57.666
8	0.07187	31.698	56.344
9	0.07749	18.858	38.408
10	0.08310	37.414	63.216
11	0.08867	35.538	60.328
12	0.09431	42.848	69.076
13	0.09992	51.678	76.764
14	0.11677	49.534	75.002
15	0.12934	51.472	77.124
16	0.14186	47.602	73.600
17	0.15763	53.816	78.380
18	0.16902	60.346	83.514
19	0.18002	60.764	83.586
20	0.19103	64.170	85.980
21	0.20206	67.700	88.448
22	0.21315	69.844	89.668
23	0.22425	70.372	89.810
24	0.23541	71.352	90.306
25	0.24650	71.172	90.228
26	0.25760	72.086	90.818
27	0.26867	72.834	91.222
28	0.27976	73.198	91.338
29	0.31472	75.812	93.012
30	0.33507	75.850	93.116
31	0.35516	75.926	93.154
32	0.37524	75.916	93.134
33	0.39400	75.942	93.122
34	0.41283	75.928	93.168
35	0.43295	75.944	93.186
