epoch	hours	top1Accuracy	top5Accuracy
0	0.001188889	0.6	2.41
1	0.002291667	2.13	7.55
2	0.003380556	5.45	15.26
3	0.004466667	4.62	12.49
4	0.005538889	12.27	28.17
5	0.006622222	13.13	28.87
6	0.007716667	18.31	38.25
7	0.008819444	19.01	38.51
8	0.009891667	23.3	44.49
9	0.010980556	20.92	41
10	0.012047222	20.62	40.11
11	0.013111111	7.21	17.89
12	0.014180556	11.67	26.17
13	0.015630556	30.36	53.6
14	0.017069444	31.41	55.71
15	0.018558333	39.54	64.65
16	0.019991667	39.93	64.67
17	0.021436111	45.58	70.23
18	0.022872222	40.78	65.51
19	0.024308333	48.57	72.71
20	0.025744444	52.79	77.2
21	0.027175	54.63	78.75
22	0.028613889	52.75	77.05
23	0.030113889	55.8	79.76
24	0.033055556	66.75	87.35
25	0.035905556	69.09	88.99
26	0.038755556	70.66	89.8
27	0.043763889	75.75	93.04
