epoch	hours	top1Accuracy	top5Accuracy
0	0.01593	5.096	14.532
1	0.02545	15.522	34.356
2	0.03510	19.972	41.066
3	0.04479	23.172	45.322
4	0.05424	26.984	50.952
5	0.06395	30.168	55.194
6	0.07347	31.400	57.138
7	0.08439	28.764	53.154
8	0.09219	33.188	58.014
9	0.09990	40.338	66.234
10	0.10810	37.628	63.582
11	0.11579	43.548	69.402
12	0.12356	46.552	72.138
13	0.15070	52.362	77.636
14	0.17011	50.400	75.610
15	0.18959	53.986	78.906
16	0.20894	55.604	80.174
17	0.22827	58.558	82.294
18	0.24751	55.948	80.220
19	0.26684	59.618	83.030
20	0.28620	64.288	86.392
21	0.30557	67.454	88.238
22	0.32492	70.304	89.766
23	0.34440	70.568	89.930
24	0.36377	71.432	90.356
25	0.38338	72.454	91.056
26	0.40293	72.916	91.294
27	0.46090	75.648	92.966
28	0.49509	75.716	93.008
29	0.52965	75.684	93.018

