epoch	hours	top1Accuracy	top5Accuracy
0	0.007919166346666666	0.07	0.52
1	0.10494388845166666	5.93	16.60
2	0.1949486107288889	15.15	34.39
3	0.2835736105177778	27.11	52.70
4	0.3721063889422222	24.83	47.83
5	0.4607783328155556	37.58	63.87
6	0.54929416656	43.91	70.89
7	0.6378794442311111	47.24	73.41
8	0.7264813889422223	48.91	74.91
9	0.8147394445244445	50.14	76.02
10	0.9031830554488889	46.61	72.80
11	0.9919794442933333	51.57	76.93
12	1.080542222128889	50.96	76.89
13	1.1689444442577779	52.08	77.67
14	1.2579183329422223	53.73	78.71
15	1.3466972223911111	54.81	79.82
16	1.4354519442666667	50.18	75.83
17	1.5239819441955555	56.23	80.93
18	1.61251194424	55.09	79.86
19	1.7011427776	55.74	80.45
20	1.7899308331733332	53.99	78.99
21	1.878748333191111	55.12	79.72
22	1.9676727775644445	56.55	80.77
23	2.05602749984	55.72	80.47
24	2.1445036104	56.37	81.04
25	2.2333127774133334	55.33	80.16
26	2.321929166582222	56.58	80.71
27	2.410730277173333	54.60	79.39
28	2.49947888904	57.90	82.21
29	2.5880888885955557	56.68	81.23
30	2.6766413889977776	54.14	79.55
31	2.765104999537778	69.69	89.53
32	2.8536524997777777	70.61	90.09
33	2.9426024998577778	71.03	90.25
34	3.031192777422222	71.65	90.74
35	3.1268499999644446	71.87	90.73
36	3.2154897223644445	72.08	90.97
37	3.3040655554666665	71.79	90.78
38	3.39311305576	71.61	90.77
39	3.481577500231111	71.89	90.73
40	3.5705238888	70.94	90.44
41	3.659199999706667	71.64	90.67
42	3.7477852778977776	71.45	90.53
43	3.8363822219111112	71.33	90.77
44	3.924981944293333	71.46	90.69
45	4.013674722248889	71.70	90.77
46	4.102144444248889	70.18	90.04
47	4.190671944088889	71.01	90.49
48	4.2793088891733335	71.33	90.58
49	4.367994444231111	71.28	90.50
50	4.456601111093334	70.92	90.20
51	4.545333054862223	70.26	89.89
52	4.633911944248889	71.25	90.53
53	4.722485833168889	71.01	90.36
54	4.811124722164444	71.15	90.44
55	4.899645000035555	70.09	89.84
56	4.9882816664372225	70.32	89.99
57	5.077779722213333	71.07	90.41
58	5.166447777217778	71.70	90.64
59	5.2550483332711115	70.81	90.21
60	5.343787221902223	70.96	90.37
61	5.432301666471111	75.35	92.71
62	5.52088416656	75.70	92.80
63	5.609556388853333	75.84	92.96
64	5.69796083344	75.87	92.97
65	5.786683055297778	75.79	92.93
66	5.8750972217955555	75.90	93.09
67	5.963770833546667	76.01	93.03
68	6.052602221973333	76.10	93.04
69	6.1412255552	76.17	93.13
70	6.230288889142222	76.20	93.14
71	6.319062499875556	76.20	93.13
72	6.407616110915556	76.16	93.17
73	6.4964638890133335	76.13	93.07
74	6.585133055306667	76.23	93.17
75	6.6736397218666665	76.21	93.09
76	6.762304722471111	76.14	93.12
77	6.850949722026667	76.35	93.21
78	6.939508610826667	76.10	93.16
79	7.028059444426667	76.20	93.13
80	7.116680000093333	76.19	93.05
81	7.205301666257777	76.58	93.29
82	7.294067499377777	76.58	93.30
83	7.382623888657778	76.66	93.31
84	7.471213333084444	76.65	93.33
85	7.559813888337778	76.75	93.34
86	7.648595555622222	76.64	93.29
87	7.737334166364445	76.71	93.34
88	7.8259252776	76.63	93.32
89	7.914681666691111	76.63	93.36
90	8.003105833262222	76.67	93.33
