epoch	hours	top1Accuracy	top5Accuracy
1	0.15638888888888888	5.37	15.36
2	0.31	14.31	33.13
3	0.4636111111111111	29.11	55.03
4	0.6175	33.17	59.41
5	0.7733333333333333	36.75	63.99
6	0.9283333333333333	42.16	68.64
7	1.083611111111111	45.78	72.41
8	1.2383333333333333	46.78	73.35
9	1.3930555555555555	50.17	76.19
10	1.5480555555555555	47.42	73.81
11	1.7025	52.05	77.53
12	1.8575	50.39	76.51
13	2.0125	53.07	78.31
14	2.167222222222222	53.67	79.01
15	2.3230555555555554	51.92	77.46
16	2.4791666666666665	54.72	79.55
17	2.6358333333333333	53.29	78.42
18	2.7905555555555557	55.94	80.73
19	2.948611111111111	54.14	79.10
20	3.105	55.90	80.85
21	3.2622222222222224	53.25	78.43
22	3.419722222222222	56.24	81.19
23	3.575	55.28	80.22
24	3.7319444444444443	55.89	80.56
25	3.89	56.61	81.24
26	4.048333333333333	56.39	81.03
27	4.205277777777778	56.71	81.27
28	4.365833333333334	54.07	79.31
29	4.524166666666667	54.02	79.26
30	4.6802777777777775	55.93	80.68
31	4.839444444444444	70.10	89.71
32	4.998055555555555	70.79	90.15
33	5.157222222222222	71.46	90.53
34	5.315	71.34	90.52
35	5.518611111111111	71.66	90.73
36	5.676111111111111	71.98	90.96
37	5.833333333333333	71.62	90.73
38	5.990833333333334	71.76	90.89
39	6.150555555555556	72.23	90.94
40	6.31	71.33	90.47
41	6.468333333333334	72.02	90.71
42	6.639444444444444	71.46	90.68
43	6.799444444444444	70.93	90.11
44	6.958333333333333	71.73	90.77
45	7.118333333333333	71.25	90.58
46	7.278333333333333	69.52	89.56
47	7.439722222222223	70.49	90.35
48	7.599444444444444	71.30	90.50
49	7.759722222222222	70.71	90.33
50	7.918611111111111	71.59	90.67
51	8.079444444444444	71.28	90.53
52	8.239722222222222	71.11	90.49
53	8.398888888888889	70.99	90.41
54	8.560833333333333	71.30	90.66
55	8.721388888888889	71.06	90.37
56	8.881944444444445	69.85	89.95
57	9.04138888888889	70.27	90.17
58	9.201944444444445	70.80	90.38
59	9.363611111111112	70.64	90.30
60	9.525555555555556	70.97	90.42
61	9.686666666666667	74.87	92.43
62	9.849166666666667	75.23	92.57
63	10.01	75.46	92.77
64	10.171388888888888	75.51	92.74
65	10.3325	75.56	92.77
66	10.492777777777778	75.74	92.80
67	10.653333333333334	75.64	92.91
68	10.814722222222223	75.87	92.93
69	10.97861111111111	75.79	92.97
70	11.139444444444445	75.84	92.91
71	11.300555555555556	75.84	92.88
72	11.464166666666667	75.76	92.86
73	11.626388888888888	75.87	92.93
74	11.789166666666667	75.85	92.85
75	11.9525	75.90	92.88
76	12.114166666666666	75.87	92.92
77	12.278611111111111	75.75	92.89
78	12.444166666666666	75.86	93.05
79	12.608333333333333	75.88	92.93
80	12.771666666666667	75.86	92.95
81	12.935277777777777	76.04	92.99
82	13.098611111111111	76.12	93.04
83	13.262222222222222	76.07	93.07
84	13.425833333333333	76.28	93.12
85	13.588888888888889	76.07	93.07
86	13.753055555555555	76.17	93.15
87	13.919444444444444	76.20	93.07
88	14.082777777777778	76.17	93.10
89	14.246944444444445	76.13	93.11
90	14.411944444444444	76.17	93.04
91	14.578611111111112	76.10	93.10
92	14.742222222222223	76.12	93.08
93	14.910833333333333	76.19	93.12
94	15.080277777777777	76.06	93.13
95	15.24638888888889	76.10	93.07
