hours	epoch	top1Accuracy	top5Accuracy
0.7144444444444444	1	19.152	41.018
1.4175	2	36.468	63.004
2.1225	3	43.618	69.95
2.826111111111111	4	47.858	74.316
3.535	5	48.986	75.164
4.2427777777777775	6	51.788	77.368
4.953055555555555	7	53.584	78.602
5.669722222222222	8	52.372	78.212
6.391388888888889	9	54.822	79.67
7.1130555555555555	10	56.874	81.392
7.835833333333333	11	53.428	78.178
8.563055555555556	12	56.328	80.834
9.292777777777777	13	59.354	83.114
10.02111111111111	14	58.722	82.866
10.744444444444444	15	58.808	82.53
11.475	16	58.74	82.862
12.204722222222221	17	58.806	82.776
12.936666666666667	18	57.16	81.442
13.669166666666667	19	59.934	83.436
14.401944444444444	20	58.886	82.804
15.132777777777777	21	58.464	82.536
15.866666666666667	22	59.436	83.124
16.600277777777777	23	60.834	84.19
17.324444444444445	24	60.788	84.022
18.056944444444444	25	56.426	80.976
18.79111111111111	26	59.636	83.174
19.525555555555556	27	58.02	82.022
20.25583333333333	28	60.26	83.588
20.989166666666666	29	60.97	84.324
21.724444444444444	30	61.082	84.456
22.4525	31	72.142	90.828
23.180833333333332	32	72.816	91.286
23.915277777777778	33	73.506	91.728
24.645555555555557	34	73.794	91.932
25.38138888888889	35	73.896	91.882
26.11611111111111	36	74.212	92.044
26.851111111111113	37	74.272	92.138
27.586666666666666	38	74.302	92.116
28.323055555555555	39	73.898	91.992
29.059166666666666	40	74.234	92.26
29.795555555555556	41	74.04	92.022
30.525555555555556	42	74.394	92.14
31.258055555555554	43	74.244	92.128
31.988333333333333	44	74.152	92.018
32.72416666666667	45	74.11	92.216
33.45805555555555	46	74.438	92.182
34.195	47	73.892	92.072
34.931111111111115	48	73.966	91.936
35.668055555555554	49	73.39	91.838
36.40111111111111	50	74.29	92.252
37.13611111111111	51	73.992	91.942
37.871944444444445	52	73.842	91.926
38.6025	53	73.412	91.712
39.33611111111111	54	73.8	91.986
40.07138888888889	55	73.526	91.81
40.80638888888889	56	74.108	92.048
41.541666666666664	57	73.932	91.792
42.27583333333333	58	73.816	92.202
43.00833333333333	59	73.774	92.15
43.74111111111111	60	73.88	91.916
44.47416666666667	61	77.234	93.6
45.20861111111111	62	77.62	93.814
45.94722222222222	63	77.726	93.936
46.67527777777778	64	77.792	93.918
47.40611111111111	65	77.824	93.912
