epoch	f1Score	hours
1	0.6126923155084571	  0.13735185055555554     
2	0.6589392375990826	  0.2737912822222222      
3	0.6970635553522308	  0.4102256991666667      
4	0.7135301821548053	  0.5466561252777777      
5	0.7235578414583271	  0.6831488563888889      
6	0.7351785157058065	  0.8194695636111111      
7	0.7415187719761846	  0.9557994827777778      
8	0.7462997410538038	  1.0922179619444445      
9	0.7444002365529445	  1.2286042622222224      
10	0.7584450310827428	  1.3650755286111111      
