epoch	hours	top1Accuracy
1.00096	0.09327464030848608	41.3
2.00192	0.17209179129865435	52.2
3.00288	0.2509522462553448	62.260000000000005
4.00384	0.32984219445122615	64.82
5.0048	0.4087339390648736	68.63
6.00576	0.4876267403364182	69.33
7.00672	0.5665120375156403	74.72
8.00768	0.6454133086072076	70.62
9.00864	0.7243143306175868	77.29
10.0096	0.8031833326816559	74.83999999999999
11.01056	0.8820674988296296	73.42
12.01152	0.9609483850664563	77.33
13.01248	1.0398220176829234	77.44
14.01344	1.1186816586388482	79.75999999999999
15.0144	1.197544575797187	80.82000000000001
16.01536	1.276406582461463	79.52
17.01632	1.355265156759156	75.66000000000001
18.01728	1.4341065534618165	80.83
19.01824	1.512946026325226	81.78
20.0192	1.5917658105823727	74.39
21.02016	1.6705957312054105	83.56
22.02112	1.7494442648357815	81.3
23.02208	1.8282823059293958	80.32000000000001
24.02304	1.9071449153290858	82.19
25.024	1.9859666278627184	80.5
26.02496	2.0648205535279383	81.06
27.02592	2.1436480463875665	81.93
28.02688	2.2224587131871116	82.57
29.02784	2.3012781277630063	83.31
30.0288	2.380095337629318	82.2
31.02976	2.4589112693071367	81.46
32.03072	2.5377123082346387	83.02000000000001
33.03168	2.6165256647931203	84.64
34.03264	2.695355024337769	82.22
35.0336	2.774153135882483	82.43
36.03456	2.852938019765748	81.3
37.03552	2.9317242101165983	83.12
38.03648	3.010500403907564	79.46
39.03744	3.0892599968115495	83.81
40.0384	3.168044771684541	85.32
41.03936	3.246817020177841	83.38
42.04032	3.325615794791115	83.39
43.04128	3.404414230386416	85.14
44.04224	3.483220278951857	85.00999999999999
45.0432	3.5620262460576164	84.78999999999999
46.04416	3.6408405889405144	81.71000000000001
47.04512	3.7196254471275547	83.46000000000001
48.04608	3.7984069440762203	83.78
49.04704	3.8772009295225143	84.53
50.048	3.955968224075106	83.34
51.04896	4.034762430124813	85.72999999999999
52.04992	4.113525623679161	81.82000000000001
53.05088	4.192292651666536	83.52000000000001
54.05184	4.271067338652082	82.66
55.0528	4.349855485161146	83.58
56.05376	4.428637467490303	85.46000000000001
57.05472	4.50739700363742	86.03
58.05568	4.586175079610612	85.48
59.05664	4.665087073710231	83.47
60.0576	4.743993421594302	83.91
61.05856	4.82287427590953	84.37
62.05952	4.9016919626129996	82.27
63.06048	4.980506134761704	85.72
64.06144	5.059310263991356	85.5
65.0624	5.138095299071736	84.88
66.06336	5.216864245666399	80.08
67.06432	5.295628802047835	83.41
68.06528	5.374421987003751	84.66
