hours	epoch	top1Accuracy
1	0.07333333333333333	43.36
2	0.11027777777777778	59.25
3	0.14694444444444443	64.96
4	0.18388888888888888	73.03
5	0.22055555555555556	77.44
6	0.2575	80.24
7	0.2941666666666667	81.25
8	0.33111111111111113	77.41
9	0.36777777777777776	77.44
10	0.4047222222222222	82.67
11	0.4413888888888889	81.89999999999999
12	0.47833333333333333	83.69
13	0.515	80.74
14	0.5519444444444445	84.31
15	0.5886111111111111	84.61
16	0.6255555555555555	82.38
17	0.6622222222222223	84.34
18	0.6991666666666667	81.03
19	0.7358333333333333	86.43
20	0.7727777777777778	84.67
21	0.8094444444444444	84.09
22	0.8463888888888889	86.27
23	0.8833333333333333	83.37
24	0.92	85.23
25	0.9569444444444445	84.37
26	0.9936111111111111	85.63000000000001
27	1.0305555555555554	86.9
28	1.0672222222222223	83.84
29	1.1041666666666667	86.42
30	1.1408333333333334	85.86
31	1.1777777777777778	86.75
32	1.2144444444444444	87.77000000000001
33	1.2513888888888889	87.81
34	1.2883333333333333	85.23
35	1.325	87.94999999999999
36	1.3619444444444444	88.36
37	1.398611111111111	87.41
38	1.4355555555555555	88.01
39	1.4722222222222223	86.94999999999999
40	1.5091666666666668	88.08
41	1.5458333333333334	88.5
42	1.5827777777777778	86.61
43	1.6194444444444445	87.58
44	1.656388888888889	88.64999999999999
45	1.6933333333333334	87.76
46	1.73	87.13
47	1.7669444444444444	88.69
48	1.803611111111111	85.52
49	1.8405555555555555	87.14
50	1.8772222222222221	86.05000000000001
51	1.9141666666666666	86.74
52	1.9508333333333334	88.18
53	1.9877777777777779	89.59
54	2.024722222222222	89.01
55	2.0613888888888887	87.83
56	2.098333333333333	88.31
57	2.135	87.78
58	2.1719444444444442	88.67
59	2.2086111111111113	87.04
60	2.2455555555555557	89.19
61	2.2825	88.89
62	2.319166666666667	86.46000000000001
63	2.3561111111111113	87.85000000000001
64	2.392777777777778	89.41
65	2.4297222222222223	89.41
66	2.466666666666667	89.14
67	2.5033333333333334	88.37
68	2.540277777777778	89.1
69	2.5769444444444445	89.51
70	2.613888888888889	89.94
71	2.6505555555555556	88.38000000000001
72	2.6875	88.38000000000001
73	2.7244444444444444	90.23
74	2.761111111111111	89.84
75	2.7980555555555555	89.36
76	2.834722222222222	89.67
77	2.8716666666666666	89.36
78	2.908611111111111	89.75999999999999
79	2.9452777777777777	88.8
80	2.982222222222222	89.34
81	3.0188888888888887	89.31
82	3.055833333333333	88.99000000000001
83	3.0925	93.37
84	3.1294444444444443	93.76
85	3.1663888888888887	93.8
86	3.2030555555555558	93.93
87	3.24	93.97999999999999
88	3.276666666666667	93.96
89	3.3136111111111113	94.08
90	3.350277777777778	94.08
91	3.3872222222222224	94.03
92	3.424166666666667	94.08
93	3.4608333333333334	94.26
94	3.497777777777778	94.11
95	3.5344444444444445	94.11
96	3.571388888888889	94.08999999999999
97	3.6080555555555556	94.22
98	3.645	94.22
99	3.6819444444444445	94.13
100	3.718611111111111	94.23
101	3.7555555555555555	94.07
102	3.792222222222222	94.07
103	3.8291666666666666	94.08999999999999
104	3.8658333333333332	94.23
105	3.9027777777777777	94.11
106	3.9394444444444443	94.08
107	3.9763888888888888	94.08
108	4.013333333333334	94.16
109	4.05	94.31
110	4.086944444444445	94.23
111	4.123611111111111	94.24
112	4.160555555555556	94.23
113	4.197222222222222	94.08
114	4.234166666666667	94.17999999999999
115	4.270833333333333	94.03
116	4.307777777777778	94.10000000000001
117	4.344444444444444	94.08999999999999
118	4.381388888888889	94.01
119	4.418333333333333	94.04
120	4.455	94.24
121	4.491944444444444	94.12
122	4.528611111111111	94.15
123	4.565555555555555	94.06
124	4.602222222222222	94.10000000000001
125	4.639166666666667	94.15
126	4.675833333333333	94.17
127	4.712777777777778	94.12
128	4.749444444444444	94.02000000000001
129	4.786388888888889	94.11
130	4.823055555555555	94.05
131	4.86	94.08999999999999
132	4.896944444444444	94.19999999999999
133	4.933611111111111	94.16
134	4.970555555555555	94.28
135	5.0072222222222225	94.19999999999999
136	5.0441666666666665	94.15
137	5.0808333333333335	94.25
138	5.1177777777777775	94.25
139	5.154722222222222	94.25
140	5.191388888888889	94.26
141	5.2283333333333335	94.27
142	5.265	94.23
143	5.301944444444445	94.22
144	5.338888888888889	94.26
145	5.375555555555556	94.28
146	5.4125	94.28
147	5.449166666666667	94.21000000000001
148	5.486111111111111	94.17
149	5.523055555555556	94.28999999999999
150	5.559722222222222	94.24
151	5.596666666666667	94.26
152	5.633333333333334	94.28
153	5.670277777777778	94.31
154	5.706944444444445	94.31
155	5.743888888888889	94.33
156	5.780833333333334	94.36
157	5.8175	94.38
158	5.854444444444445	94.28999999999999
159	5.891111111111111	94.25
160	5.928055555555556	94.31
161	5.964722222222222	94.28999999999999
162	6.001666666666667	94.28999999999999
163	6.038611111111111	94.14
164	6.075277777777778	94.19999999999999
165	6.112222222222222	94.16
166	6.148888888888889	94.17
167	6.185833333333333	94.17999999999999
168	6.2225	94.26
169	6.259444444444444	94.3
170	6.296388888888889	94.28
171	6.333055555555555	94.21000000000001
172	6.37	94.26
173	6.406666666666666	94.25
174	6.443611111111111	94.24
175	6.480555555555555	94.28999999999999
176	6.517222222222222	94.26
177	6.554166666666666	94.23
178	6.590833333333333	94.27
179	6.627777777777778	94.23
180	6.664722222222222	94.32000000000001
181	6.701388888888889	94.37
182	6.738333333333333	94.28999999999999
183	6.775	94.25
184	6.811944444444444	94.24
185	6.848611111111111	94.36
186	6.885555555555555	94.23
187	6.9225	94.42
188	6.9591666666666665	94.28999999999999
189	6.996111111111111	94.27
190	7.032777777777778	94.33
191	7.0697222222222225	94.27
192	7.106388888888889	94.39999999999999
193	7.1433333333333335	94.38
194	7.1802777777777775	94.32000000000001
195	7.216944444444445	94.28999999999999
196	7.253888888888889	94.27
197	7.290555555555556	94.35
198	7.3275	94.33
199	7.364444444444445	94.26
200	7.401111111111111	94.24
201	7.438055555555556	94.3
202	7.474722222222222	94.22
203	7.511666666666667	94.19
204	7.548333333333333	94.35
205	7.585277777777778	94.31
206	7.622222222222222	94.37
207	7.658888888888889	94.21000000000001
208	7.695833333333334	94.36
209	7.7325	94.19
210	7.769444444444445	94.33
211	7.806111111111111	94.3
212	7.843055555555556	94.23
213	7.88	94.23
214	7.916666666666667	94.32000000000001
215	7.953611111111111	94.37
216	7.990277777777778	94.23
217	8.027222222222223	94.28
218	8.063888888888888	94.34
219	8.100833333333334	94.28
220	8.1375	94.32000000000001
221	8.174444444444445	94.28999999999999
222	8.211388888888889	94.33
223	8.248055555555556	94.41000000000001
224	8.285	94.27
225	8.321666666666667	94.37
226	8.358611111111111	94.31
227	8.395277777777778	94.23
228	8.432222222222222	94.26
229	8.469166666666666	94.34
230	8.505833333333333	94.33
231	8.542777777777777	94.35
232	8.579444444444444	94.3
233	8.616388888888888	94.28
234	8.653055555555556	94.33
235	8.69	94.37
236	8.726944444444445	94.33
237	8.76361111111111	94.39
238	8.800555555555556	94.33
239	8.837222222222222	94.42
240	8.874166666666667	94.42
241	8.910833333333333	94.37
242	8.947777777777778	94.33
243	8.984722222222222	94.42
244	9.02138888888889	94.19999999999999
245	9.058333333333334	94.19999999999999
246	9.095	94.32000000000001
247	9.131944444444445	94.21000000000001
248	9.168888888888889	94.24
249	9.205555555555556	94.35
250	9.2425	94.37
251	9.279166666666667	94.32000000000001
252	9.31611111111111	94.34
253	9.353055555555555	94.27
254	9.389722222222222	94.31
255	9.426666666666666	94.28999999999999
256	9.463333333333333	94.22
257	9.500277777777777	94.28999999999999
258	9.536944444444444	94.27
259	9.573888888888888	94.35
260	9.610833333333334	94.25
261	9.6475	94.43
262	9.684444444444445	94.31
263	9.721111111111112	94.33
264	9.758055555555556	94.21000000000001
265	9.794722222222223	94.26
266	9.831666666666667	94.33
267	9.868611111111111	94.31
268	9.905277777777778	94.22
269	9.942222222222222	94.25
270	9.97888888888889	94.31
271	10.015833333333333	94.27
272	10.0525	94.41000000000001
273	10.089444444444444	94.36
274	10.126388888888888	94.42
275	10.163055555555555	94.28999999999999
276	10.2	94.32000000000001
277	10.236666666666666	94.39
278	10.27361111111111	94.41000000000001
279	10.310277777777777	94.25
280	10.347222222222221	94.34
281	10.384166666666667	94.26
282	10.420833333333333	94.28999999999999
283	10.457777777777778	94.21000000000001
284	10.494444444444444	94.28999999999999
285	10.53138888888889	94.34
286	10.568333333333333	94.28999999999999
287	10.605	94.42
288	10.641944444444444	94.35
289	10.678611111111111	94.28999999999999
290	10.715555555555556	94.31
291	10.752222222222223	94.26
292	10.789166666666667	94.28
293	10.825833333333334	94.37
294	10.862777777777778	94.39
295	10.899722222222222	94.39
296	10.936388888888889	94.42
297	10.973333333333333	94.41000000000001
298	11.01	94.41000000000001
299	11.046944444444444	94.28
300	11.08361111111111	94.39999999999999
301	11.120555555555555	94.38
302	11.1575	94.36
303	11.194166666666666	94.44
304	11.231111111111112	94.42
305	11.267777777777777	94.37
306	11.304722222222223	94.35
307	11.341388888888888	94.36
308	11.378333333333334	94.39999999999999
309	11.415277777777778	94.51
310	11.451944444444445	94.41000000000001
311	11.488888888888889	94.37
312	11.525555555555556	94.43
313	11.5625	94.38
314	11.599166666666667	94.37
315	11.636111111111111	94.42
316	11.673055555555555	94.34
317	11.709722222222222	94.37
318	11.746666666666666	94.33
319	11.783333333333333	94.39
320	11.820277777777777	94.33
321	11.856944444444444	94.3
322	11.893888888888888	94.45
323	11.930833333333334	94.39
324	11.9675	94.42
325	12.004444444444445	94.42
326	12.04138888888889	94.36
327	12.078055555555556	94.45
328	12.115	94.39
329	12.151666666666667	94.35
330	12.188611111111111	94.47
331	12.225555555555555	94.34
332	12.262222222222222	94.36
333	12.299166666666666	94.31
334	12.335833333333333	94.31
335	12.372777777777777	94.42
336	12.409722222222221	94.39999999999999
337	12.446388888888889	94.39999999999999
338	12.483333333333333	94.35
339	12.52	94.39999999999999
340	12.556944444444444	94.37
341	12.59388888888889	94.39999999999999
342	12.630555555555556	94.36
343	12.6675	94.46
344	12.704166666666667	94.32000000000001
345	12.741111111111111	94.31
346	12.778055555555556	94.42
347	12.814722222222223	94.35
348	12.851666666666667	94.39
349	12.888333333333334	94.38
350	12.925277777777778	94.41000000000001
351	12.961944444444445	94.39
352	12.998888888888889	94.45
353	13.035833333333333	94.37
354	13.0725	94.32000000000001
355	13.109444444444444	94.35
356	13.14638888888889	94.38
357	13.183055555555555	94.39
358	13.22	94.39999999999999
359	13.256666666666666	94.41000000000001
360	13.293611111111112	94.34
361	13.330555555555556	94.48
362	13.367222222222223	94.42
363	13.404166666666667	94.46
364	13.440833333333334	94.43
365	13.477777777777778	94.47
366	13.514722222222222	94.42
367	13.551388888888889	94.41000000000001
368	13.588333333333333	94.33
369	13.625	94.36
370	13.661944444444444	94.39999999999999
371	13.698888888888888	94.34
372	13.735555555555555	94.41000000000001
373	13.7725	94.37
374	13.809166666666666	94.41000000000001
375	13.846111111111112	94.34
376	13.883055555555556	94.41000000000001
377	13.919722222222223	94.35
378	13.956666666666667	94.33
379	13.993333333333334	94.38
380	14.030277777777778	94.37
381	14.066944444444445	94.39
382	14.10388888888889	94.35
383	14.140833333333333	94.39999999999999
384	14.1775	94.36
385	14.214444444444444	94.39999999999999
386	14.251111111111111	94.39999999999999
387	14.288055555555555	94.39
388	14.324722222222222	94.35
389	14.361666666666666	94.39
390	14.39861111111111	94.39
391	14.435277777777777	94.32000000000001
392	14.472222222222221	94.31
393	14.508888888888889	94.28999999999999
394	14.545833333333333	94.39999999999999
395	14.5825	94.32000000000001
396	14.619444444444444	94.38
397	14.65638888888889	94.44
398	14.693055555555556	94.34
399	14.73	94.38
400	14.766666666666667	94.41000000000001
